latest_year,id,indicator,year,xaxis_display,value
1,BW,gov_debt_to_gdp_perc,2025,,0.3864
0,CF,gov_debt_to_gdp_perc,2010,,0.19883
0,CF,gov_debt_to_gdp_perc,2011,,0.19686
0,CF,gov_debt_to_gdp_perc,2012,,0.31533
0,CF,gov_debt_to_gdp_perc,2013,,0.5179
0,CF,gov_debt_to_gdp_perc,2014,,0.57526
0,CF,gov_debt_to_gdp_perc,2015,,0.54357
0,CF,gov_debt_to_gdp_perc,2016,,0.4928499999999999
0,CF,gov_debt_to_gdp_perc,2017,,0.47381
0,CF,gov_debt_to_gdp_perc,2018,,0.47868
0,CF,gov_debt_to_gdp_perc,2019,,0.44888
0,CF,gov_debt_to_gdp_perc,2020,,0.42362
0,CF,gov_debt_to_gdp_perc,2021,,0.46276000000000006
0,CF,gov_debt_to_gdp_perc,2022,,0.48949
0,CF,gov_debt_to_gdp_perc,2023,,0.55622
0,CF,gov_debt_to_gdp_perc,2024,,0.59883
1,CF,gov_debt_to_gdp_perc,2025,,0.61818
0,CA,gov_debt_to_gdp_perc,2010,,0.83975
0,CA,gov_debt_to_gdp_perc,2011,,0.84284
0,CA,gov_debt_to_gdp_perc,2012,,0.87015
0,CA,gov_debt_to_gdp_perc,2013,,0.87703
